"strain"	"country"
"OQ567848.1|2016-03-07"	"Paraguay"
"OQ567863.1|2020-01-13"	"Paraguay"
"OQ593388.1|2017-06-24"	"Cameroon"
"OQ593389.1|2017-06-21"	"Cameroon"
"OQ593392.1|2017-04-13"	"Cameroon"
"OQ603259.1|2013-06-01"	"Colombia"
"OQ603260.1|2013-06-18"	"Colombia"
"OQ603261.1|2015-10-09"	"Colombia"
"OQ603263.1|2016-06-24"	"Colombia"
"OQ603309.1|2015-09-15"	"Colombia"
"OQ603310.1|2015"	"Colombia"
"OQ603311.1|2015"	"Colombia"
"OQ603316.1|2013-09-18"	"Colombia"
"OQ605977.1|2022-03-15"	"Brazil"
"OQ605987.1|2022-03-31"	"Brazil"
"OQ678061.1|2019-12-17"	"Cambodia"
"OQ721955.1|2022"	"India"
"OQ740547.1|2022-03-31"	"Dominican Republic"
"OQ740551.1|2022-04-08"	"Dominican Republic"
"OQ740552.1|2022-04-13"	"Dominican Republic"
"OQ740553.1|2022-05-11"	"Dominican Republic"
"OQ821332.1|2016-03-15"	"Costa Rica"
"OQ821340.1|2021-11-16"	"Cuba"
"OQ821348.1|2022-08-28"	"Cuba"
"OQ821349.1|2022-09-01"	"Cuba"
"OQ821367.1|2022-12-07"	"Mexico"
"OQ821377.1|2013-08-29"	"USA"
"OQ821380.1|2019-10-23"	"Venezuela"
"OQ821445.1|2019-11-13"	"Cuba"
"OQ821456.1|2022-06-20"	"Cuba"
"OQ821459.1|2022-06-28"	"Cuba"
"OQ821468.1|2022-08-18"	"Cuba"
"OQ821472.1|2014-01-12"	"Dominican Republic"
"OQ821475.1|2015-10-28"	"Haiti"
"OQ821483.1|2019-08-19"	"Mexico"
"OQ821485.1|2022-07-06"	"Mexico"
"OQ821495.1|2014-02-09"	"Puerto Rico"
"OQ821497.1|2019-08-29"	"USA"
"OQ821502.1|2021-08-12"	"Colombia"
"OQ821520.1|2022-08-18"	"Cuba"
"OQ821609.1|2019-11-06"	"Jamaica"
"OQ821611.1|2020-11-07"	"Saint Lucia"
"OQ821645.1|2022-09-10"	"Nicaragua"
"OQ821649.1|2016-03-21"	"Jamaica"
"OQ832613.1|2020-09"	"Vietnam"
"OQ832614.1|2020-09"	"Vietnam"
"OQ836209.1|2023-01-24"	"Puerto Rico"
"OQ851873.1|2022-10-21"	"Bhutan"
"OQ857506.1|2022-10-05"	"USA"
"OQ948474.1|2019-09"	"China"
"OR025607.1|2023-03-29"	"Brazil"
"OR025611.1|2023-04-08"	"Brazil"
"OR150747.1|2022-12-23"	"USA"
"OR150749.1|2023-01-06"	"USA"
"OR162320.1|2022-11-15"	"USA"
"OR167130.1|2023-03-03"	"Brazil"
"OR167255.1|2023-03-23"	"Brazil"
"OR235532.1|2022-04"	"Reunion"
"OR235645.1|2021-06"	"Reunion"
"OR235733.1|2019-12"	"Mayotte"
"OR236087.1|2014-05"	"Reunion"
"OR236111.1|2016-05"	"Reunion"
"OR236112.1|2016-05"	"Reunion"
"OR236114.1|2014-03"	"Reunion"
"OR236115.1|2014-12"	"Reunion"
"OR236116.1|2014-05"	"Reunion"
"OR236121.1|2016-02"	"Reunion"
"OR259174.1|2021-07"	"Nigeria"
"OR259175.1|2021-09"	"Nigeria"
"OR389007.1|2000"	"Brazil"
"OR389273.1|1986"	"Brazil"
"OR389346.1|1987"	"El Salvador"
"OR393976.1|2019-07-22"	"Sri Lanka"
"OR393978.1|2019-08-05"	"Sri Lanka"
"OR394016.1|2019-10-30"	"Sri Lanka"
"OR394026.1|2019-11-22"	"Sri Lanka"
"OR394032.1|2019-11-29"	"Sri Lanka"
"OR394051.1|2020-01-06"	"Sri Lanka"
"OR448787.1|2023-06"	"Switzerland"
"OR654276.1|2023-05-31"	"USA"
"OR771147.1|2023-07-20"	"USA"
"OR821724.1|2022-09"	"Nepal"
"OR821957.1|2023-10-12"	"USA"
"OR936755.1|2023-09-04"	"Pakistan"
"OR936761.1|2023-09-13"	"Pakistan"
"OR936764.1|2023-09-12"	"Pakistan"
"OR936768.1|2023-09-12"	"Pakistan"
"OR977094.1|2023-11-10"	"USA"
"PP082832.1|2023-12"	"Reunion"
"PP082833.1|2023-12"	"Reunion"
"PP082846.1|2023-09"	"Reunion"
"PP082853.1|2023-07"	"Reunion"
"PP082854.1|2023-07"	"Reunion"
"PP082862.1|2023-04"	"Reunion"
"PP234949.1|2019-07-01"	"Sri Lanka"
"PP269634.1|2015-10-12"	"Vietnam"
"PP269735.1|2015-12-22"	"Vietnam"
"PP269752.1|2016-12-21"	"Vietnam"
"PP269908.1|2022-10-11"	"Vietnam"
"PP326753.1|2023-05-11"	"France"
"PP326828.1|2023-12-13"	"France"
"PP411235.1|2022-06-07"	"Cambodia"
"PP411252.1|2022-06-20"	"Cambodia"
"PP411257.1|2022-07-05"	"Cambodia"
"PP446692.1|2022-09-05"	"Cambodia"
"PP446693.1|2022-10-06"	"Cambodia"
"PP530047.1|2014-07"	"Brazil"
"PP530050.1|2015-11-15"	"Brazil"
"PP530058.1|2015-05-12"	"Brazil"
"PP564586.1|2023-10-01"	"China"
"PP564601.1|2023-10-02"	"China"
"PP564661.1|2023-10-30"	"China"
"PP692469.1|2023-12-23"	"USA"
"PP757868.1|2023-08-30"	"India"
"PP757871.1|2022-06-18"	"India"
